img_id,caption_id,reverse_word_order
317330,405405,. подтяжках и галстуке в очков поверх смотрит Мужчина
111347,525958,". столе на стоящим , поездом игрушечным перед улыбается Малыш"
384242,455129,. виндсерфинга для доску устанавливает океане в Человек
83013,33877,. виду на всех у загону своему по гуляет Слон
272599,593483,. плывет и серфинга для доску за держится Мужчина
455666,263911,. камерой перед позирует одежде официальной в человек Молодой
373768,453523,. телевизору по Wii игры в играют мальчика Два
462324,810037,трюк делает рубашке белой в скейтбордист мужчина
504747,333173,. еду готовит и кухне на стоит Женщина
116434,270631,". волнам по плывущего , человека Силуэт"
92894,423148,. мяча отбивания для стойку в становится Бейсболист
37783,272840,. рампе по скейтборде на катается Мальчик
63965,318929,". глазурью покрытым , тортом с тарелку держит Женщина"
5032,206848,. снегу в лыжах на стоят ребенок и Женщина
85527,439728,пиво держит смокинге в Мужчина
330911,735339,. сноуборде на катания время во воздуху по летит Человек
370208,731512,. счетчиком парковочным перед припаркован Велосипед
443053,38064,волне на серфинга для доске на катается человек молодой
331604,219543,. доске красной на воздухе в Кайтсерфер
418625,183151,. другом с друг рядом земле на лежат зебры Две
462031,773286,. фонарем под поле на биту держит Мужчина
174633,383675,. лыжах на ребенка руку за держит лыжах на Взрослый
42752,634861,окну большому к лицом сидит мужчина
105960,77257,. пляжа фоне на океане в Виндсерфер
88360,318860,. фрисби во друга против друг играют женщины Две
481895,610516,. пляжа от недалеко волнах на катаются серфера Два
248786,782719,пиццей наслаждается и время проводит хорошо ресторане в людей Группа
217654,442950,. виндсерфинга время во воздухе в высоко летит Мужчина
234518,323876,. фрисби красную ей брошенную ловит Девушка
478906,378191,". вместе стоя , позируют и улыбаются человека Три"
114481,573118,. базой с рядом стоит Бейсболист
212663,226656,. остановке автобусной на автобусом другим с рядом припарковался Автобус
233090,274573,. города большого очень гавани в плывет Лодка
422274,495495,. воде по серфинга для доске на катается Человек
168353,782333,торт разрезают человек пара
404847,677052,. дороге на зонтами с людей Группа
451879,475764,". мячу к тянутся и смотрят белом в другие а , бежит , зеленое в одетый , человек один , игры время во Бейсболисты"
477144,547615,. биту держит и базой домашней с рядом стоит Бейсболист
484681,3007,. рюкзак тянет и камеру в улыбается мальчик Маленький
403675,755328,играть готов битой бейсбольной с Парень
143120,478839,. ртом со рядом пончик или печенье держит Мужчина
310445,391429,едят и столом за сидят Люди
342204,490795,. вместе едят женщин Пара
54344,522343,. полосе взлетно-посадочной на самолет легкий в посадке к готовятся Люди
262394,100797,. зданием со рядом улицы вдоль припаркован Мотоцикл
355513,32158,", леса у сноуборде на стоит Мужчина"
186218,274363,. зонтиками и пальто с снаружи мужчин Двое
58651,167229,. депо через проходит поезд Зеленый
225405,73722,. мячом футбольным с играют мальчика Два
490620,477788,. пиццы свежеприготовленной у сидит девочка Маленькая
296524,676086,. ​​рукой расплывчатой с галстук поправляет Мужчина
115765,268772,. парке в деревьями под стоит женщин молодых Группа
116341,226755,. торта кусочки ест и столом за сидит детей Группа
463690,66080,. воздухе в ногой одной с тротуаре на лежит Мужчина
355394,73034,. океане зеленом в волне на катается Серфер
224114,567059,. шезлонгами и зонтиками с отель Курортный
307531,493704,воздухе в фрисби к бежит собака
473250,459747,"зонт красный держащей , женщины картина"
20070,60957,ванной маленькой в феном с Мужчина
320944,685970,. улице по идет людей Толпа
419444,436626,. наушниках в скейтборде на катается человек Молодой
379144,47252,. шоссе по едет самосвал Синий
188866,690907,. руке в пончиком с сидит Девушка
65655,815215,едой с тарелками с столом за сидит людей группа
258395,712380,. улице по едет машина пожарная Красная
200058,563993,. снегу в сноуборде на Человек
190637,88188,wii nintendo в играет и постели в лежит ребенок маленький
346642,574297,". лодками наполненная , водой чистой кристально с Лагуна"
134322,96999,". Япония , вероятно , комплексом строительным и акваторией между змея воздушного Полет"
539874,712000,. галстуке красно-черном в Мужчина
537069,475392,. мячу по битой бьет Мальчик
391222,433850,. костюмах фиолетовых в снегу на стоят лыжницы Две
324340,416782,. яблока три руке одной в держит Женщина
477500,807115,. улице на мопедах на сидят человека Два
434488,693005,. ней с рядом небоскреб и часами с Башня
556248,472605,океана у скале большой по гуляют Птицы
559047,610152,. сиденье деревянном на сидит Кошка
37907,472464,электронике разной на лежит кошка
87377,246997,чемодана коричневого внутри прячется кошка красивая
380117,78607,. зелени окружении в столе на калачиком свернувшись лежит Кот
87595,518807,. тумбочкой с рядом кровати на сидит кот Белый
503668,414369,. одеяле синем и зеленом на лежит собака Лохматая
181763,180638,. шляпе белой в собака Черно-белая
135748,258893,". одеялом покрытая , постели собачьей в собака Крошечная"
515668,147653,. парке травяном грязном в фрисби белой за гоняется Собака
206831,714576,. фрисби неоновую рту во держит собака коричневая Большая
137321,508026,. головой опущенной низко с мужчина свесился кроватью Над
349776,225276,. поле ​​грязном в кошкой с рядом стоит Собака
29170,146278,. зонтиками с пляже песчаном пустынном на Лошадь
578902,699150,. плане переднем на лошадью пегой с поле в лошадей Группа
368088,494887,воды у берегу на стоит лошадей Стадо
384513,562717,дороги обочине на телеге к привязана лошадь маленькая
129637,790835,. столу по прогулкой с рядом лошадей Фигурки
74460,737980,траве зеленой на пасется лошадей пара
345209,74335,. матери своей молоко пьет лошади Детеныш
460682,701597,поле в лежит лошадь
274091,82454,". часами с башней и флагами британскими , домами кирпичными с Улица"
369849,302077,. знака уличного возле траве на пасутся лошади Три
242342,102662,полю травянистому по бегут вместе лошади Две
23937,701648,поле в лежит овца маленькая
572408,305022,. поменьше коровой с поле в стоит Корова
361123,114119,. нее вокруг овцами другими с снегу в Овца
437931,640543,. поле травой покрытом на стоит овец Стадо
517795,198562,забором за конструкцией деревянной с рядом овцы две
191533,101378,. плане заднем на деревьями с поле зеленом в пасутся овцы Две
374100,544197,. камеру в смотрят поле в коровы Две
237566,111229,поле травянистом на пасутся коровы черные Две
310618,326535,. трубы протекающей из воды набрать пытается Корова
316112,158226,. овец полю по разбросанных группа большая
92145,480808,. забора возле едят коров коричневых красивых очень Несколько
213961,597283,. пляже на дюнам песчаным по гуляют коровы Две
545958,671544,. входом синим с здания белого возле стоит Корова
129416,792878,. водоема возле поле в пасется коров Группа
361268,346464,. тротуара обочине на траве на пасется Корова
339512,412522,". траве сладкой более на пастись чтобы , забора у очередь в выстраиваются коровы Молочные"
167193,414371,. пастбище на бодаются коровы Две
116095,639064,". пара еще ними за а , коровы белых и коричневых четыре идут ряд В"
87444,154871,. здания внутри загоне в сидит Корова
539784,644822,. овец стадо большое пасется дороги оживленной У
66800,488445,. траве в стоит Слон
108326,741718,". оленями с рядом стоят свиньи и зебры которой на , картина Большая"
108864,339290,поле в противостоянии в бивни скрещивают слона Два
94538,219262,. улице на стоят вместе зебра и слона Три
69928,590059,. здания стене на висит слона Статуя
359135,414469,. бивнями сцепляются и другом с друг играют слона Два
519461,579416,загоне в стоит слонов пара
11364,523448,. полю зеленому по идет медведь Черный
254479,108108,дерева ветвями между стоит медвежонок маленький
328499,781146,. лесу в ягоды едят енот и медвежонок Бурый
407019,652318,воды около ходит медведь Белый
98197,660644,. полю травянистому по идет медведь черный Молодой
539678,559876,. траве на один сидит Медведь
204381,763452,. дерева ветки возле стоит медведь полярный Белый
256091,489688,. пустыне в стоит зебр Группа
416193,424097,. зоопарке в жирафами и зебрами с Поле
38825,798293,. местности травянистой в вместе пасутся зебры Две
187434,549861,. поле зеленом на стоят зебр Пара
371243,724395,полю по идут зебр пара
85285,799558,"земле по идущей , зебры план крупный"
63381,319594,траву ест и камней у стоит зебра одинокая
105670,340761,". идет она когда , зебры часть заднюю на Вид"
512468,583425,тропе на животные другие некоторые и зебра
42534,483345,. фоне резком на зебры » снимок Портретный «
374486,544678,. поле в вместе стоят жирафа Два
352576,406866,. лесу в стоит Жираф
92109,751780,фотографии красочной на изображена жирафа голова
432529,461052,другу к друг близко очень стоят жирафа два
393282,532995,. поля посреди стоят жирафа Два
580693,562006,днем поле травяном сухом на сидят Жирафы
116289,317074,. дерева около другом с друг рядом стоят жирафа Два
165336,218690,. поле на другом с друг рядом стоят жирафа Два
442894,50409,. поля рисунком с стены фоне на зоопарке в жирафа Два
118401,451415,. воды кромки у слонов несколько и Жираф
155546,637366,. диван кожаный стоит стола обеденного возле гостиной В
534121,580039,. комнате маленькой в стул и Диван
284375,226746,. столе деревянном на стоит ноутбук Открытый
82258,450055,. столе на сложены книг Несколько
454907,196066,". холодильником и духовкой , плитой с Кухня"
314935,416073,. столе коричневом на стоят ноутбука Два
441225,413970,. раковинами двумя и ванной с комната Ванная
436470,123258,"столом и стульями , диванами с гостиная"
567657,84895,. компьютером настольным и ноутбуком с стол Компьютерный
47597,168925,. книг нескольких поверх стоят Часы
509260,706593,. стеллажами книжными двумя перед игру компьютерную старую показывает телевизор Старый
80045,479228,. циферблатах на цифрами и рисунками различными и циферблатами двумя с часы уличные Большие
414676,734871,. бокам по часами с башня кирпичная высокая Очень
242615,48728,. комнате в кровати заправленные аккуратно Две
294305,763236,. время ночное в башни вершине на часов Двое
163798,628207,. зданием большим с рядом часами с Башня
400922,108960,. часами над стене на висит Вывеска
169273,88853,окном с рядом здании каменном старом на Часы
413497,376354,"здания каменного стене на установленные , часы Большие"
577821,570176,. колоколами и цифрами римскими с часами с башня Старая
414340,122609,. церковью белой маленькой с рядом часами с башня Большая
105455,97045,. улице на часами с башня Красочная
414663,770474,. здания белого возле тротуаре на фонарями с Часы
3084,666732,здании кирпичном в цифрами золотыми с циферблат синий
133195,520477,нем на часами городскими с здание высокое очень
521181,84714,". одеялом покрытая , кровать большая спальне В"
228464,317092,. часы на акцентом с здания Фотография
264730,2048,. городе в стене на Часы
271548,36714,. цветами белыми с ваза Стеклянная
283064,716335,". цветы искусственные стоят которой в , вазой стеклянной огромной с Стол"
500825,465840,. водой с вазе прозрачной высокой в стоят Цветы
220137,122398,. беседкой соломенной и вазами голубыми с сад Крытый
309405,344828,". телевизором и столом , пуфиком и стулом красным с Гостиная"
223671,537337,пуфом и стульями со гостиная небольшая
56443,699396,вазе в цветами с ветки натюрморт Черно-белый
140076,787422,. столе на вазой цветочной с стол обеденный Накрытый
88445,648789,столешнице на стоит ваза украшенная
239306,433905,. фоне узорчатом на полке на вазы сине-белые Три
262360,671262,. столе на водой и цветами с Ваза
435075,541767,. цветов разноцветных множеством наполнена Ваза
508115,482318,". статуи религиозной и мешка кофейного , цветка у сидит мишка Плюшевый"
181947,152145,. столе на ножниц парами тремя с Чашка
116226,631197,"прихватки и половник , ножниц желтых пара"
161008,303279,. ящике деревянном на лежат Ножницы
198992,256203,. поверхности белой на ножниц красных Пара
498363,60149,". украли не их чтобы , цепями прикованы Ножницы"
348012,611516,. ленты клейкой рулоне на лежат Ножницы
232596,336944,. ножниц и расчески поверх волос отрезанных Куча
348083,485345,внутри столом и диванами с комната
122602,86364,. доской с рядом клея бутылкой и ножницами с Стол
318730,621557,. веревки кусок перерезают Ножницы
81354,446368,. ключа гаечного и ножниц ржавых план Крупный
237844,476305,. аксессуарами другими с столе на стоит Ноутбук
194425,111174,". статуи виде в бумага и ножницы , Камень"
421069,536219,столе на буклет и Ножницы
564283,199806,. кухне на камерой морозильной с холодильник Белый
34080,729521,. копейкой с рядом лежат ножницы Маленькие
425905,352981,. стола деревянного из торчат Ножницы
288161,503820,раковиной над электроприбором с кухня
481890,524555,. подушками с кровати на лежит мишка белый Большой
4396,756284,халате зеленом в мишка плюшевый
175443,669925,мишкой плюшевым и огнями с елка Рождественская
328745,130171,. клетку черно-белую в кровати на сидят мишки коричневых Два
73453,829306,десертом шоколадным с рядом столе на стоит мишка плюшевый маленький
523315,662720,подушки возле сидит мишка плюшевый Коричневый
343534,762309,мишками плюшевыми двумя с руки за держится кукла
139277,34596,. мишки плюшевого маленького очень план Крупный
43073,441233,. женщиной с рядом стоит рубашке синей в Мальчик
48850,55526,. наверху феном розовым с стульями двумя с Стол
574250,207899,". кроватью белой с рядом , одеждой наполненный , Шкаф"
178028,556990,. стене на феном и зеркалом большим с комнате ванной в Раковина
293133,280841,. ребенку другому волосы высушить помогает девочка Маленькая
338094,502277,. головой вниз волосы сушит гостиной в Женщина
27570,774300,. зеркалом перед феном волосы сушит Женщина
478874,528121,. волосы расчесывает и фен держит девушка Молодая
24402,521948,. газет комок феном сушит Женщина
212058,489586,. столом перед феном ребенка на дует Женщина
117759,531114,". волосы сушит которая , женщина видна зеркале В"
177262,607500,. феном за ванной в стойке на сидит Кот
126744,260531,". машиной посудомоечной и холодильником , печью микроволновой с Кухня"
245112,424403,. комнате в держателе в щеток зубных Пара
44504,355486,. рта полости гигиены средства другие и щетки Зубные
361282,638785,. стене деревянной на висят Часы
63478,399210,. нее вокруг лица для товарами с ванной в Раковина
208,76457,краном открытым с рядом раковине на стоит динозавр Игрушечный
114303,661558,". раковиной и полками , ванной с комната Ванная"
129001,567359,. комнате ванной в раковиной с рядом Ванна
518287,346953,. щетки зубной держателе в пасты зубной секции в стоит щетка Зубная
466583,587907,. зеркалом и раковиной с рядом душем стоячим со комната Ванная
298732,617549,"чашки и зеркало , ванна , стойка коричнево-черная"
102668,102718,. перекресток проезжает автобус белый Большой
49994,232613,. здания стеной со рядом стоит Светофор
194729,507429,. скамьи каменной от сбоку Табличка
385535,575975,. светофорами двумя между месте видном на знак Дорожный
225093,479825,. полосами оранжевой и зеленой с поезд стоит рельсах На
155451,306282,огни другие и здания улица светофора свет зеленый
57149,68122,. переезде железнодорожном на ждут машина серебристая и автобус Школьный
369482,760970,улицей городской над висит светофор
266451,425346,зданий несколько и часами белыми с башня
449793,149429,. дороге на столбе на установлены светофора Два
307598,736922,. светофоре на поезд желто-зеленый
166391,187245,. светофоров множеством с улица широкая Большая
340654,79780,. гидранта пожарного красного у находятся знаки уличные и Светофор
95063,213868,. перехода пешеходного сигналом с Светофор
258860,110323,. стеной кирпичной коричневой с рядом припаркован велосипед Белый
495379,761932,. тротуара возле гидранта пожарного красного план Крупный
5437,46000,. него поверх курткой синей с гидрант Пожарный
152465,771557,. ним под шиной с гидрант Пожарный
363654,428793,. зданием ветхим с рядом снега куче в гидрант Пожарный
187495,542197,. тротуара углу на стоит гидрант Пожарный
283054,20145,. бордюром с рядом улице на установлен гидрант Пожарный
331223,398370,. перегородкой предупредительной с рядом находится гидрант пожарный Красный
523194,325096,. дороги обочине на гидрант Пожарный
419080,289150,". гидрантами пожарными несколькими и конусом дорожным , баком мусорным с тротуаром с рядом Знак"
178810,581425,". деревом с рядом стоящий , гидрант пожарный Желто-красный"
511583,470814,. ночью улице на припаркован Автомобиль
13159,85191,". гидрант пожарный есть рядом что , том о Табличка"
117792,224950,. окнами большими с окном перед гидрант пожарный Красный
21671,347518,. гидрант пожарный розовый сломанный стоит тротуаре На
167422,180165,. водой с реки у стоит гидрант пожарный Красный
52005,631253,. кустами с рядом находится гидрант пожарный Желтый
440559,497641,". пар выходит которого из , люком с рядом стоит гидрант пожарный Желтый"
372203,422696,. поле на гидрант пожарный и скамейка Деревянная
274655,686874,казино рекламой с автобус
186322,292307,. прохода посреди стоит гидрант пожарный ржавый Посеребренный
29648,234454,. блоке бетонном на гидрант пожарный Красный
331024,486953,гидранта пожарного желтого фото размытое
451014,552527,. дороги обочине на стоит гидрант пожарный желтый и Синий
6091,784493,. » Стоп « знак виден хорошо Ночью
28982,120499,. дороги обочине на » Стоп « знак Красный
305634,79504,. » Стоп « знаком красным над улицы угла Знаки
535242,732235,снаружи дороге на находится » Стоп « знак красный
88462,58590,. дороге на останавливается автобус школьный желтый Большой
76648,505982,. наклейками различными с » Стоп « Знак
182469,385219,. дороге на баррикадой над » Стоп « Знак
562737,475228,". останавливается не движение что , предупреждающий , знак один еще есть которым под , » Стоп « знак"
66263,622340,. холмами холмистыми большими с глуши в » Стоп « Знак
24629,355610,. улицы обочине на » Стоп « знак Красный
197090,194833,. улицы обочине на » Стоп « знак Красный
503277,152634,. дороги обочине на знаком дорожным с рядом » Стоп « Знак
105291,361790,. Schoolhouse и Main North углу на » Стоп « Знак
79408,402565,. лесом с рядом » Стоп « знак Красный
151231,758215,". » David « написано которой на , ним над табличкой с стоп Знак"
386525,503414,. деревом с рядом стоянке на грузовик Припаркованный
97892,97956,. движением односторонним с улицы знаком под » Стоп « знаком красным с рядом парит демон Белый
391321,644080,» Стоп « знаком со рядом находится фонарь уличный
84168,387809,. тротуара травой заросшего углу на гидрант пожарный и » Стоп « Знак
45966,109995,языке иностранном на » Стоп « Знак
388487,368308,". » Стоп « знаком со рядом растущие , цветы дикие"
239843,521386,. остановки знаком над знака дорожных Два
92244,124125,. метрами парковочными двумя между стоит платье в Кукла
258674,476865,. улице на криво лежит Паркомат
433774,632421,. деревом высоким с рядом Паркомат
348584,609623,". стороны лицевые их только видны , снегом засыпанные , счетчика парковочных Два"
211653,316294,. размеров и типов различных паркоматы представлены выставке На
503252,678894,» station donation « надписью с цвета зеленого счетчик парковочный
37709,147427,. улицы названием с таблички две и » Стоп « знак висит столбе одном На
543985,460476,. автомобилем припаркованным с рядом Паркомат
462677,220627,. улицей с рядом счетчик парковочный Синий
92212,200998,знаков дорожных около припаркованы автомобили
417588,355004,. лестницей перед счетчик парковочный Разноцветный
242345,222039,. счетчиком парковочным за здания стороны со Окно
370448,396585,. тротуаром пустым перед гидрант Пожарный
67757,311794,". обочины у припаркованной , машиной синей с рядом тротуаре на стоит магазина щит рекламный Вечером"
280325,649128,. счетчиком парковочным перед стену украшает Граффити
38186,563755,. счетчиком с бордюром с рядом стоит Грузовик
53994,526101,. кустов у счетчик парковочный красно-бело-синий Симпатичный
288824,128023,улице городской по едет машина пожарная
498533,134725,. земле на и автомобиле на снегом со сцена Уличная
565012,717603,городе в ночью шоссе на автомобили
135023,217683,. дороги обочине на Паркомат
503183,648903,. смотрит и метрами парковочными двумя между стоит шарнирах на Кукла
46144,533747,парке в радуги цвета Скамейка
220171,231327,. стены у скамейка деревянная Коричневая
109894,159457,зданий возле улице городской на столбе на часы
334311,20826,. дорожки пешеходной пустой обочине на Скамейка
518030,464430,воду на видом с корнете на стоит скамейка
424258,368820,. цветами с бочек двух возле скамейка Деревянная
576927,122793,"друга на друг сложенными , камнями двумя с парке в Скамейка"
453584,706106,. Coca-Cola символ изображен скамейке красной На
57917,507535,. скамейки возле склоне на растет Дерево
147293,702131,"деревья растут которой вокруг , парке в скамейка"
330750,734260,. скамейка построена зданием каменным старым со Рядом
466332,313192,кустами с домом перед скамейка
25430,561120,. внизу долину зеленую пышную на видом с Скамья
18485,115539,. парке зеленом в стоит скамейка Деревянная
28826,284017,". океана у пляже на , песком засыпанная частично , Скамейка"
405248,393890,". растениями с контейнерами и горшками покрытая , скамейка Деревянная"
351589,568063,. дома возле скамейка Деревянная
113128,677548,леса от недалеко изгороди у Скамейка
154168,525100,. домов высоких мимо улице по проезжает Автобус
387388,660086,воде в доске деревянной на Скамейка
555298,543452,. столом компьютерным под шредером и книг для сумкой между спит Собака
111062,262639,. полками двумя между стену в вмонтирован Телевизор
270096,564287,. столе на компьютеров несколько и Ноутбук
50753,482105,". холодильником и печью микроволновой , раковиной , плитой , духовкой с Кухня"
137301,808886,". сумкой и мышкой , монитором , ноутбуком с Стол"
580953,280752,". клавиатурой и монитором компьютерным , ноутбуком с Стол"
406211,344731,. гостиной в стуле на сидит Кошка
128148,107034,. полом деревянным и диванами кожаными с гостиная Большая
142246,76777,. эркере в стульями четырьмя с столе на Компьютер
113556,378445,"книг полной , комнате в Полка"
78107,673218,. него на смотрит пристально и телевизором перед сидит Кошка
225456,786470,компьютера экраном с рядом кошка
363461,948,. офис домашний как выглядят стул и стол Компьютерный
225757,172454,. телефонами сотовыми и компьютерами несколькими с Стол
368684,481768,. плане переднем на ноутбука экраном и плане заднем на телевизором с Комната
499842,429028,наверху ноутбуком и компьютером с стол компьютерный
568879,466981,. включен ноутбуками с рядом мониторов двух из Один
423744,632926,проводов множеством окружены монитор и ноутбук
541664,322728,. лего из столе на стоит Ноутбук
242427,784743,". розеткой с экраном и ноутбуками , столами со Комната"
105538,694538,". динамиками и мышью , клавиатурой , монитором , ноутбуком с Стол"
464196,222534,". ноутбуками покрытым , столом над проектора экран Большой"
135872,27550,. компьютером настольным и ноутбуком с Стол
561403,432664,". ПК планшетный и монитор , ноутбук есть столе компьютерном На"
482970,57954,. динамиком с столе на стоит Ноутбук
71563,331299,". ноутбуку к подключенный , столе на экраном большим с Монитор"
398567,97085,". лампой лавовой и динамиками , головой качающейся , мышью , клавиатурой , компьютером с Стол"
254169,829389,столе на другом с друг рядом стоят компьютера монитор и ноутбука два
253263,100808,. принтером с столе на компьютеры портативные и Настольные
312868,349660,. клавиатурой с монитором компьютерным и ноутбуками двумя с Стол
154423,107513,. нем на клавиатурой и компьютера настольного монитором с стол Черный
430002,127775,клавиатуры компьютерной возле пиццы тарелки план крупный
558012,548589,. компьютером настольным и ноутбуком с стол Компьютерный
217269,151170,нем на монитором и клавиатурой с стол изогнутый
93948,688923,. компьютере на тарелкой с рядом стоит Кошка
248631,35012,. мышью стационарной нему к прикрепленной с Ноутбук
119828,508898,. столе деревянном на сидит Кот
356790,354225,". мыши компьютерные и мониторы , клавиатуры показывает изображений четырех из Коллаж"
20481,733184,. столе на стоит Ноутбук
308117,332727,столе на мышью и клавиатурой с компьютера экран
37367,503293,. столе на стоит Ноутбук
225609,677717,. столе деревянном на Ноутбук
278313,729553,. телевизором перед дивана спинке на лежит майка Хоккейная
550784,408144,пуфиком с комнате просторной в балдахином с Кровать
446881,157129,. кухню на видом и центре в телевизором с Гостиная
7288,95876,. сиденьем коричневым электронным с унитаз Белый
436963,469558,". столе на стоят монитор и мышь , Клавиатура"
333888,484192,полкой книжной и стульями синими с гостиная
95908,178615,. мышкой с рядом грелке на Кружка
272630,324660,. столе на ноутбука Два
505043,432352,сверху монитором и ноутбуками двумя с стол компьютерный
486383,189620,. столе на компьютера настольного монитор и Ноутбук
37740,291975,. нем на ноутбуком с стол Деревянный
413341,99810,. наверху медведя фигурками маленькими тремя с ноутбука Клавиатура
505754,36428,столе на кофе чашкой с рядом тарелке на торта кусок
309424,560783,". колесиками с стуле на установленными , чемоданами жесткими двумя и мониторами компьютерными двумя с зона Офисная"
233638,455665,. столе на телефон мобильный и Ноутбук
427666,665051,. телефонами мобильными и ноутбуком с рядом лежат банана Три
169361,514359,фрисби зеленая головой за собаки у
219632,760037,. фрисби с играет собака кудрявая Черная
528488,145610,снегу на фрисби во играет собака
403315,84923,. парке в фрисби несет Хаски
223032,691970,. фрисби белую пасти в держит Собака
212817,394031,. склону по спускается сноуборде на Ребенок
96625,459091,. лыжах на трюк выполняет Мужчина
207178,792688,. лыжами с снегу на стоят человека Два
392665,713137,сноуборда для снаряжении в сидят девушки молодые Две
297698,736556,. вперед наклоняется прыжке в Лыжник
283186,85074,". препятствие обойти чтобы , наклоняется очках и шлеме в Лыжник"
263223,705288,. склону заснеженному по лыжах на катается Мужчина
414170,280831,". снегом покрытой , местности холмистой по скользят лыжников Несколько"
761,731103,. горы с спуску к готовится лыжников Группа
85813,319423,. горы с лыжах на катается вместе Пара
239235,713366,. трассе лыжной заснеженной по вниз едет людей Группа
112941,508064,. горы заснеженной склону по лыжах на катается людей Группа
247692,568085,. склона горнолыжного склону по лыжах на катается мужчин Группа
526040,743037,. снег в упал сноуборде на Человек
102903,129853,снегу на сидит парке серой в Человек
39988,168641,. сноуборде на человека низу с снимок
451104,338076,. снегу в тропинке на стоит Человек
296906,391836,. зоне альпийской в трюк воздушный выполняет пальто синем в Сноубордист
549683,516110,. темноте в сноуборде на кататься пытается Мужчина
285462,439960,". воздухе в руку другую а , сноуборда для доску руке одной в держит Женщина"
358296,660249,. здания возле холма лыжного подножия у сноуборда для Стойка
209989,786252,снегу в людей несколько
203382,781909,пруду в стоит медведь
1682,694422,. водоему по плывет Лодка
364444,288911,. ноутбуком и мониторами 3 с стол Компьютерный
2139,570325,". кровати грязной и неубранной к прислоненный , Велосипед"
359569,587089,. рту во фрисби красной с снегу по идет собака Черно-коричневая
66568,538013,". стене к прислонившись , лежат мишки плюшевых Два"
153392,662976,. облака в высоко поднимаются змеев воздушных Много
502090,491727,. хвостом длинным с небу голубому по летит змей Воздушный
7784,607568,. небе в высоко летит змей воздушный большой
228025,588888,. пляжем коричневым песчаным над летит змей Воздушный
44478,87628,. воздуху по летит самолета форме в змей Воздушный
384476,426936,. небе голубом в летит змей Воздушный
183416,49508,. небе голубом в головой над летит павлина форме в змей Воздушный
162357,432952,. дерева ветку голую за зацепился змей Воздушный
351621,291302,. небе голубом ясном в высоко летят змея воздушных Два
161752,705085,". потолка с свисающими , змеями воздушными с Комната"
447501,798310,. небе солнечном в парит змей-монстр воздушный Зелёный
132686,411372,. змеев воздушных разноцветных множеством наполнено Небо
187890,777224,Вашингтона монументом перед пролетает змей-дракон Воздушный
216785,307276,. дереве на воздухе в высоко змей Воздушный
550729,202357,. поле зеленом на лежит змей воздушный Красочный
308974,541563,. небу голубому чистому кристально по летит змей Воздушный
395083,121884,небе в змеев воздушных количество Большое
23751,171992,". ребенком с рядом , змея воздушного держащего , человека Статуя"
521719,286536,. змеев воздушных висящих план Крупный
499588,10170,". стене светло-голубой к прикрепленные , змеи воздушные Разноцветные"
450439,84258,". небу голубому ясному по летящий , змей воздушный патриотический"
85911,639356,. водоема большого посреди плывет змей Воздушный
509270,770558,. змея воздушных два летают ветру На
212801,76598,океаном над летят дуги форме в змеев воздушных небольших Несколько
204067,637098,. игры время во бить готовится базе домашней на Игрок
78671,740075,поле на битой размахивает Бейсболист
295006,677652,. поле на руках в битой с Бейсболист
154071,569430,. поле бейсбольном на действии в Игроки
432820,781665,. поле на битой размахивает Бейсболист
8119,165508,. бейсбол в играет людей молодых Команда
115791,15050,. битой поднятой с ромбе на стоит Бейсболист
229984,512532,. битой размахивает базе домашней на Бейсболист
72795,633859,"публикой перед поле на играющих , мяч в игроков группа"
19176,108674,". бейсбол в играющими , бейсболистами заполнено Поле"
297522,615387,. него позади ловцом с битой бейсбольной замахивается Отбивающий
397729,35903,. бейсбол в игры время во битой бейсбольной размахивает ребенок Маленький
318130,724149,. подачи броска ждет Отбивающий
555538,71280,. рукой вытянутой с бейсболе в Кетчер
291209,108577,. перчатке кетчерской в полю бейсбольному по идет Мужчина
456725,395421,бейсбол в играет Мужчина
464087,396465,". него на смотрят судья и кэтчер а , удар мощный совершает отбивающий Бейсбольный"
444502,423693,. перчатке бейсбольной в поле на Человек
231508,149207,. поле на мяч бейсбольный бросает Бейсболист
289076,107737,". доске своей на рампе деревянной по поднимается , черное все во одетый , Скейтбордист"
26518,726263,скейтборде на стоит кто-то
165862,479094,". сцене на другом с друг рядом стоящих , мужчин Группа"
359387,423951,". сидя , скейтборде на трюк проделать пытается Ребенок"
300842,472419,. полу на колесами с Скейтборд
424271,108762,. здании в скейтбордах на катается детей маленьких Группа
360595,345982,. шляпе в мужчиной с разговаривает скейтбордом со Мужчина
63922,587726,. шлеме в скейтборде на мальчик Маленький
202444,473767,свете дневном при зрителями со цементе на трюк выполняет Скейтбордист
168260,672553,пляже на стоит спасателя грузовик Желтый
353909,219206,. земли травой зеленой покрытой из торчит серфинга для доска Синяя
453310,763499,. сзади оборудованием и крыше на фонарями с грузовик Красный
522566,362066,. серфинга для доской нему к прислоненной с фургон короткий очень Припаркован
324189,530458,. кашпо уникальное в перерабатывается серфинга для Доска
495048,174380,. грузовика кузове в серфинга для доске на Собака
164115,202154,. покупок для тележкой с рядом серфинга для Доска
234677,219988,. серфинга для доской с пляже на стоит Соник Гигантский
207027,170290,". пляже на стойке на сидящих , серфинга для досок деревянных Ряд"
6473,346562,. пальмами и серфинга для доской с пляжа виде в рождения день на Торт
572907,495970,. ракеткой с корте теннисном на стоит Мужчина
