img_id,caption_id,root_Mood_error_sent
317330,405405,Мужчина смотри поверх очков в галстуке и подтяжках.
111347,525958,"Малыш улыбайся перед игрушечным поездом, стоящим на столе."
384242,455129,Человек в океане устанавливай доску для виндсерфинга.
83013,33877,Слон гуляй по своему загону у всех на виду.
272599,593483,Мужчина держись за доску для серфинга и плыви.
455666,263911,Молодой человек в официальной одежде позируй перед камерой.
373768,453523,Два мальчика играйте в игры Wii по телевизору.
462324,810037,мужчина скейтбордист в белой рубашке делай трюк
504747,333173,Женщина стой на кухне и готовь еду.
92894,423148,Бейсболист становись в стойку для отбивания мяча.
37783,272840,Мальчик катайся на скейтборде по рампе.
63965,318929,"Женщина держи тарелку с тортом, покрытым глазурью."
5032,206848,Женщина и ребенок стойте на лыжах в снегу.
85527,439728,Мужчина в смокинге держи пиво
330911,735339,Человек лети по воздуху во время катания на сноуборде.
443053,38064,молодой человек катайся на доске для серфинга на волне
418625,183151,Две зебры лежите на земле рядом друг с другом.
462031,773286,Мужчина держи биту на поле под фонарем.
174633,383675,Взрослый на лыжах держи за руку ребенка на лыжах.
42752,634861,мужчина сиди лицом к большому окну
88360,318860,Две женщины играйте друг против друга во фрисби.
481895,610516,Два серфера катайтесь на волнах недалеко от пляжа.
248786,782719,Группа людей в ресторане хорошо проводи время и наслаждайся пиццей
217654,442950,Мужчина лети высоко в воздухе во время виндсерфинга.
234518,323876,Девушка лови брошенную ей красную фрисби.
478906,378191,"Три человека улыбайтесь и позируйте, стоя вместе."
114481,573118,Бейсболист стой рядом с базой.
212663,226656,Автобус припаркуйся рядом с другим автобусом на автобусной остановке.
233090,274573,Лодка плыви в гавани очень большого города.
422274,495495,Человек катайся на доске для серфинга по воде.
168353,782333,пара человек разрезайте торт
451879,475764,"Бейсболисты во время игры, один человек, одетый в зеленое, беги, а другие в белом смотрите и тянитесь к мячу."
477144,547615,Бейсболист стой рядом с домашней базой и держи биту.
484681,3007,Маленький мальчик улыбайся в камеру и тяни рюкзак.
143120,478839,Мужчина держи печенье или пончик рядом со ртом.
310445,391429,Люди сидите за столом и едят
342204,490795,Пара женщин ешьте вместе.
54344,522343,Люди готовьтесь к посадке в легкий самолет на взлетно-посадочной полосе.
355513,32158,"Мужчина стой на сноуборде у леса,"
58651,167229,Зеленый поезд проходи через депо.
225405,73722,Два мальчика играйте с футбольным мячом.
490620,477788,Маленькая девочка сиди у свежеприготовленной пиццы.
296524,676086,Мужчина поправляй галстук с расплывчатой ​​рукой.
115765,268772,Группа молодых женщин стой под деревьями в парке.
116341,226755,Группа детей сиди за столом и ешь кусочки торта.
463690,66080,Мужчина лежи на тротуаре с одной ногой в воздухе.
355394,73034,Серфер катайся на волне в зеленом океане.
307531,493704,собака беги к фрисби в воздухе
320944,685970,Толпа людей идите по улице.
419444,436626,Молодой человек катайся на скейтборде в наушниках.
379144,47252,Синий самосвал едем по шоссе.
188866,690907,Девушка сиди с пончиком в руке.
65655,815215,группа людей сиди за столом с тарелками с едой
258395,712380,Красная пожарная машина едем по улице.
190637,88188,маленький ребенок лежи в постели и играет в nintendo wii
537069,475392,Мальчик бей битой по мячу.
391222,433850,Две лыжницы стойте на снегу в фиолетовых костюмах.
324340,416782,Женщина держи в одной руке три яблока.
477500,807115,Два человека сидите на мопедах на улице.
556248,472605,Птицы гуляйте по большой скале у океана
559047,610152,Кошка сиди на деревянном сиденье.
37907,472464,кошка лежи на разной электронике
87377,246997,красивая кошка прячься внутри коричневого чемодана
380117,78607,Кот лежи свернувшись калачиком на столе в окружении зелени.
87595,518807,Белый кот сиди на кровати рядом с тумбочкой.
503668,414369,Лохматая собака лежи на зеленом и синем одеяле.
515668,147653,Собака гоняйся за белой фрисби в грязном травяном парке.
206831,714576,Большая коричневая собака держи во рту неоновую фрисби.
349776,225276,Собака стой рядом с кошкой в ​​грязном поле.
368088,494887,Стадо лошадей стой на берегу у воды
74460,737980,пара лошадей пасись на зеленой траве
345209,74335,Детеныш лошади пей молоко своей матери.
460682,701597,лошадь лежи в поле
369849,302077,Три лошади паситесь на траве возле уличного знака.
242342,102662,Две лошади вместе бегите по травянистому полю
23937,701648,маленькая овца лежи в поле
572408,305022,Корова стой в поле с коровой поменьше.
437931,640543,Стадо овец стой на покрытом травой поле.
191533,101378,Две овцы паситесь в зеленом поле с деревьями на заднем плане.
374100,544197,Две коровы в поле смотрите в камеру.
237566,111229,Две черные коровы паситесь на травянистом поле
310618,326535,Корова пытайся набрать воды из протекающей трубы.
92145,480808,Несколько очень красивых коричневых коров ешьте возле забора.
213961,597283,Две коровы гуляйте по песчаным дюнам на пляже.
545958,671544,Корова стой возле белого здания с синим входом.
129416,792878,Группа коров пасись в поле возле водоема.
361268,346464,Корова пасись на траве на обочине тротуара.
339512,412522,"Молочные коровы выстраивайтесь в очередь у забора, чтобы пастись на более сладкой траве."
167193,414371,Две коровы бодайтесь на пастбище.
116095,639064,"В ряд идёмте четыре коричневых и белых коровы, а за ними еще пара."
87444,154871,Корова сиди в загоне внутри здания.
539784,644822,У оживленной дороги пасись большое стадо овец.
66800,488445,Слон стой в траве.
108864,339290,Два слона скрещивайте бивни в противостоянии в поле
94538,219262,Три слона и зебра вместе стойте на улице.
69928,590059,Статуя слона виси на стене здания.
359135,414469,Два слона играйте друг с другом и сцепляются бивнями.
519461,579416,пара слонов стой в загоне
11364,523448,Черный медведь иди по зеленому полю.
254479,108108,маленький медвежонок стой между ветвями дерева
328499,781146,Бурый медвежонок и енот ешьте ягоды в лесу.
407019,652318,Белый медведь ходи около воды
98197,660644,Молодой черный медведь иди по травянистому полю.
539678,559876,Медведь сиди один на траве.
204381,763452,Белый полярный медведь стой возле ветки дерева.
256091,489688,Группа зебр стой в пустыне.
38825,798293,Две зебры паситесь вместе в травянистой местности.
187434,549861,Пара зебр стойте на зеленом поле.
371243,724395,пара зебр идёмте по полю
63381,319594,одинокая зебра стой у камней и ест траву
374486,544678,Два жирафа стойте вместе в поле.
352576,406866,Жираф стой в лесу.
432529,461052,два жирафа стойте очень близко друг к другу
393282,532995,Два жирафа стойте посреди поля.
580693,562006,Жирафы сидите на сухом травяном поле днем
116289,317074,Два жирафа стойте рядом друг с другом около дерева.
165336,218690,Два жирафа стойте рядом друг с другом на поле.
155546,637366,В гостиной возле обеденного стола стой кожаный диван.
284375,226746,Открытый ноутбук стой на деревянном столе.
314935,416073,Два ноутбука стойте на коричневом столе.
47597,168925,Часы стойте поверх нескольких книг.
509260,706593,Старый телевизор показывай старую компьютерную игру перед двумя книжными стеллажами.
400922,108960,Вывеска виси на стене над часами.
500825,465840,Цветы стойте в высокой прозрачной вазе с водой.
88445,648789,украшенная ваза стой на столешнице
508115,482318,"Плюшевый мишка сиди у цветка, кофейного мешка и религиозной статуи."
161008,303279,Ножницы лежите на деревянном ящике.
348012,611516,Ножницы лежите на рулоне клейкой ленты.
318730,621557,Ножницы перерезайте кусок веревки.
237844,476305,Ноутбук стой на столе с другими аксессуарами.
34080,729521,Маленькие ножницы лежите рядом с копейкой.
425905,352981,Ножницы торчите из деревянного стола.
481890,524555,Большой белый мишка лежи на кровати с подушками.
328745,130171,Два коричневых мишки сидите на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишка стой на столе рядом с шоколадным десертом
523315,662720,Коричневый плюшевый мишка сиди возле подушки
343534,762309,кукла держись за руки с двумя плюшевыми мишками
43073,441233,Мальчик в синей рубашке стой рядом с женщиной.
293133,280841,Маленькая девочка помогай высушить волосы другому ребенку.
338094,502277,Женщина в гостиной суши волосы вниз головой.
27570,774300,Женщина суши волосы феном перед зеркалом.
478874,528121,Молодая девушка держи фен и расчесывает волосы.
24402,521948,Женщина суши феном комок газет.
212058,489586,Женщина дуй на ребенка феном перед столом.
177262,607500,Кот сиди на стойке в ванной за феном.
361282,638785,Часы висите на деревянной стене.
208,76457,Игрушечный динозавр стой на раковине рядом с открытым краном
518287,346953,Зубная щетка стой в секции зубной пасты в держателе зубной щетки.
102668,102718,Большой белый автобус проезжай перекресток.
49994,232613,Светофор стой рядом со стеной здания.
225093,479825,На рельсах стой поезд с зеленой и оранжевой полосами.
57149,68122,Школьный автобус и серебристая машина ждите на железнодорожном переезде.
369482,760970,светофор виси над городской улицей
340654,79780,Светофор и уличные знаки находитесь у красного пожарного гидранта.
187495,542197,Пожарный гидрант стой на углу тротуара.
331223,398370,Красный пожарный гидрант находись рядом с предупредительной перегородкой.
21671,347518,На тротуаре стой сломанный розовый пожарный гидрант.
167422,180165,Красный пожарный гидрант стой у реки с водой.
52005,631253,Желтый пожарный гидрант находись рядом с кустами.
440559,497641,"Желтый пожарный гидрант стой рядом с люком, из которого выходит пар."
186322,292307,Посеребренный ржавый пожарный гидрант стой посреди прохода.
451014,552527,Синий и желтый пожарный гидрант стой на обочине дороги.
535242,732235,красный знак «Стоп» находись на дороге снаружи
88462,58590,Большой желтый школьный автобус останавливайся на дороге.
97892,97956,Белый демон пари рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличный фонарь находись рядом со знаком «Стоп»
92244,124125,Кукла в платье стой между двумя парковочными метрами.
258674,476865,Паркомат лежи криво на улице.
37709,147427,На одном столбе виси знак «Стоп» и две таблички с названием улицы.
67757,311794,"Вечером рекламный щит магазина стой на тротуаре рядом с синей машиной, припаркованной у обочины."
280325,649128,Граффити украшай стену перед парковочным счетчиком.
38186,563755,Грузовик стой рядом с бордюром с счетчиком.
288824,128023,пожарная машина езжай по городской улице
503183,648903,Кукла на шарнирах стой между двумя парковочными метрами и смотрит.
518030,464430,скамейка стой на корнете с видом на воду
57917,507535,Дерево расти на склоне возле скамейки.
18485,115539,Деревянная скамейка стой в зеленом парке.
154168,525100,Автобус проезжай по улице мимо высоких домов.
555298,543452,Собака спи между сумкой для книг и шредером под компьютерным столом.
111062,262639,Телевизор вмонтируйся в стену между двумя полками.
406211,344731,Кошка сиди на стуле в гостиной.
78107,673218,Кошка сиди перед телевизором и пристально смотрит на него.
363461,948,Компьютерный стол и стул выглядите как домашний офис.
541664,322728,Ноутбук стой на столе из лего.
561403,432664,"На компьютерном столе будьте ноутбук, монитор и планшетный ПК."
482970,57954,Ноутбук стой на столе с динамиком.
254169,829389,два ноутбука и монитор компьютера стойте рядом друг с другом на столе
93948,688923,Кошка стой рядом с тарелкой на компьютере.
119828,508898,Кот сиди на деревянном столе.
356790,354225,"Коллаж из четырех изображений показывай клавиатуры, мониторы и компьютерные мыши."
20481,733184,Ноутбук стой на столе.
37367,503293,Ноутбук стой на столе.
278313,729553,Хоккейная майка лежи на спинке дивана перед телевизором.
436963,469558,"Клавиатура, мышь и монитор стойте на столе."
427666,665051,Три банана лежите рядом с ноутбуком и мобильными телефонами.
219632,760037,Черная кудрявая собака играй с фрисби.
528488,145610,собака играй во фрисби на снегу
403315,84923,Хаски неси фрисби в парке.
223032,691970,Собака держи в пасти белую фрисби.
212817,394031,Ребенок на сноуборде спускайся по склону.
96625,459091,Мужчина выполняй трюк на лыжах.
207178,792688,Два человека стойте на снегу с лыжами.
392665,713137,Две молодые девушки сидите в снаряжении для сноуборда
297698,736556,Лыжник в прыжке наклоняйся вперед.
283186,85074,"Лыжник в шлеме и очках наклоняйся, чтобы обойти препятствие."
263223,705288,Мужчина катайся на лыжах по заснеженному склону.
414170,280831,"Несколько лыжников скользите по холмистой местности, покрытой снегом."
761,731103,Группа лыжников готовься к спуску с горы.
85813,319423,Пара вместе катайся на лыжах с горы.
239235,713366,Группа людей езжай вниз по заснеженной лыжной трассе.
112941,508064,Группа людей катайся на лыжах по склону заснеженной горы.
247692,568085,Группа мужчин катайся на лыжах по склону горнолыжного склона.
526040,743037,Человек на сноуборде упади в снег.
102903,129853,Человек в серой парке сиди на снегу
451104,338076,Человек стой на тропинке в снегу.
296906,391836,Сноубордист в синем пальто выполняй воздушный трюк в альпийской зоне.
549683,516110,Мужчина пытайся кататься на сноуборде в темноте.
285462,439960,"Женщина держи в одной руке доску для сноуборда, а другую руку в воздухе."
203382,781909,медведь стой в пруду
1682,694422,Лодка плыви по водоему.
359569,587089,Черно-коричневая собака иди по снегу с красной фрисби во рту.
66568,538013,"Два плюшевых мишки лежите, прислонившись к стене."
153392,662976,Много воздушных змеев поднимайтесь высоко в облака.
502090,491727,Воздушный змей лети по голубому небу с длинным хвостом.
7784,607568,большой воздушный змей лети высоко в небе.
228025,588888,Воздушный змей лети над песчаным коричневым пляжем.
44478,87628,Воздушный змей в форме самолета лети по воздуху.
384476,426936,Воздушный змей лети в голубом небе.
183416,49508,Воздушный змей в форме павлина лети над головой в голубом небе.
162357,432952,Воздушный змей зацепись за голую ветку дерева.
351621,291302,Два воздушных змея летите высоко в ясном голубом небе.
447501,798310,Зелёный воздушный змей-монстр пари в солнечном небе.
187890,777224,Воздушный змей-дракон пролетай перед монументом Вашингтона
550729,202357,Красочный воздушный змей лежи на зеленом поле.
308974,541563,Воздушный змей лети по кристально чистому голубому небу.
85911,639356,Воздушный змей плыви посреди большого водоема.
509270,770558,На ветру летайте два воздушных змея.
212801,76598,Несколько небольших воздушных змеев в форме дуги летите над океаном
204067,637098,Игрок на домашней базе готовься бить во время игры.
78671,740075,Бейсболист размахивай битой на поле
432820,781665,Бейсболист размахивай битой на поле.
8119,165508,Команда молодых людей играй в бейсбол.
115791,15050,Бейсболист стой на ромбе с поднятой битой.
297522,615387,Отбивающий замахивайся бейсбольной битой с ловцом позади него.
397729,35903,Маленький ребенок размахивай бейсбольной битой во время игры в бейсбол.
318130,724149,Отбивающий жди броска подачи.
291209,108577,Мужчина иди по бейсбольному полю в кетчерской перчатке.
456725,395421,Мужчина играй в бейсбол
464087,396465,"Бейсбольный отбивающий совершай мощный удар, а кэтчер и судья смотрите на него."
231508,149207,Бейсболист бросай бейсбольный мяч на поле.
289076,107737,"Скейтбордист, одетый во все черное, поднимайся по деревянной рампе на своей доске."
26518,726263,кто-то стой на скейтборде
359387,423951,"Ребенок пытайся проделать трюк на скейтборде, сидя."
424271,108762,Группа маленьких детей катайся на скейтбордах в здании.
360595,345982,Мужчина со скейтбордом разговаривай с мужчиной в шляпе.
202444,473767,Скейтбордист выполняй трюк на цементе со зрителями при дневном свете
168260,672553,Желтый грузовик спасателя стой на пляже
324189,530458,Доска для серфинга перерабатывайся в уникальное кашпо.
234677,219988,Гигантский Соник стой на пляже с доской для серфинга.
572907,495970,Мужчина стой на теннисном корте с ракеткой.
